> CRF
121.4003 23.4914 19.9941
121.3986 23.4896 19.9942
121.3969 23.4879 19.9943
121.3951 23.4861 19.9943
121.3934 23.4844 19.9944
121.3916 23.4826 19.9945
121.3899 23.4808 19.9945
121.3881 23.4791 19.9946
121.3864 23.4773 19.9946
121.3847 23.4756 19.9947
121.3829 23.4738 19.9948
121.3812 23.4720 19.9948
121.3794 23.4703 19.9949
121.3777 23.4685 19.9950
121.3759 23.4668 19.9950
121.3742 23.4650 19.9951
121.3725 23.4632 19.9952
121.3707 23.4615 19.9952
121.3690 23.4597 19.9953
121.3672 23.4580 19.9953
121.3655 23.4562 19.9954
121.3643 23.4543 19.9955
121.3631 23.4524 19.9955
121.3619 23.4505 19.9955
121.3607 23.4486 19.9956
121.3595 23.4466 19.9956
121.3583 23.4447 19.9957
121.3571 23.4428 19.9957
121.3559 23.4409 19.9958
121.3547 23.4390 19.9958
121.3535 23.4371 19.9959
121.3523 23.4352 19.9959
121.3511 23.4333 19.9959
121.3499 23.4314 19.9960
121.3487 23.4295 19.9960
121.3475 23.4276 19.9961
121.3463 23.4256 19.9961
121.3451 23.4237 19.9962
121.3439 23.4218 19.9962
121.3427 23.4199 19.9962
121.3415 23.4180 19.9963
121.3406 23.4159 19.9963
121.3397 23.4139 19.9964
121.3388 23.4118 19.9964
121.3379 23.4098 19.9964
121.3370 23.4077 19.9965
121.3361 23.4057 19.9965
121.3352 23.4036 19.9965
121.3343 23.4016 19.9966
121.3334 23.3995 19.9966
121.3325 23.3974 19.9966
121.3317 23.3954 19.9966
121.3308 23.3933 19.9967
121.3299 23.3913 19.9967
121.3290 23.3892 19.9967
121.3281 23.3872 19.9968
121.3272 23.3851 19.9968
121.3263 23.3831 19.9968
121.3254 23.3810 19.9969
121.3245 23.3789 19.9969
121.3236 23.3769 19.9969
121.3229 23.3748 19.9970
121.3221 23.3727 19.9970
121.3214 23.3707 19.9970
121.3206 23.3686 19.9971
121.3198 23.3665 19.9971
121.3191 23.3644 19.9971
121.3183 23.3624 19.9971
121.3175 23.3603 19.9972
121.3168 23.3582 19.9972
121.3160 23.3561 19.9972
121.3153 23.3541 19.9972
121.3145 23.3520 19.9973
121.3137 23.3499 19.9973
121.3130 23.3478 19.9973
121.3122 23.3458 19.9974
121.3115 23.3437 19.9974
121.3107 23.3416 19.9974
121.3099 23.3395 19.9974
121.3092 23.3375 19.9975
121.3084 23.3354 19.9975
121.3075 23.3332 19.9975
121.3066 23.3310 19.9976
121.3057 23.3288 19.9976
121.3047 23.3266 19.9976
121.3038 23.3244 19.9977
121.3029 23.3222 19.9977
121.3020 23.3201 19.9977
121.3011 23.3179 19.9978
121.3002 23.3157 19.9978
121.2993 23.3135 19.9978
121.2983 23.3113 19.9979
121.2974 23.3091 19.9979
121.2965 23.3069 19.9979
121.2956 23.3047 19.9980
121.2947 23.3025 19.9980
121.2938 23.3004 19.9980
121.2928 23.2982 19.9981
121.2919 23.2960 19.9981
121.2910 23.2938 19.9981
121.2901 23.2916 19.9982
121.2892 23.2894 19.9982
121.2884 23.2872 19.9982
121.2875 23.2849 19.9982
121.2867 23.2827 19.9982
121.2858 23.2805 19.9982
121.2850 23.2783 19.9982
121.2841 23.2761 19.9982
121.2833 23.2739 19.9982
121.2824 23.2716 19.9982
121.2816 23.2694 19.9982
121.2807 23.2672 19.9982
121.2799 23.2650 19.9982
121.2790 23.2628 19.9982
121.2782 23.2606 19.9982
121.2773 23.2583 19.9982
121.2765 23.2561 19.9982
121.2756 23.2539 19.9982
121.2748 23.2517 19.9982
121.2739 23.2495 19.9982
121.2731 23.2473 19.9982
121.2720 23.2451 19.9982
121.2710 23.2429 19.9982
121.2700 23.2407 19.9982
121.2690 23.2385 19.9982
121.2680 23.2364 19.9982
121.2669 23.2342 19.9982
121.2659 23.2320 19.9982
121.2649 23.2298 19.9982
121.2639 23.2276 19.9982
121.2629 23.2255 19.9982
121.2619 23.2233 19.9982
121.2608 23.2211 19.9982
121.2598 23.2189 19.9982
121.2588 23.2168 19.9982
121.2578 23.2146 19.9982
121.2568 23.2124 19.9982
121.2558 23.2102 19.9982
121.2547 23.2080 19.9982
121.2537 23.2059 19.9982
121.2527 23.2037 19.9982
121.2515 23.2016 19.9982
121.2502 23.1995 19.9982
121.2490 23.1974 19.9982
121.2477 23.1953 19.9982
121.2465 23.1932 19.9982
121.2453 23.1911 19.9982
121.2440 23.1890 19.9982
121.2428 23.1869 19.9983
121.2415 23.1848 19.9983
121.2403 23.1827 19.9983
121.2391 23.1806 19.9983
121.2378 23.1785 19.9983
121.2366 23.1764 19.9983
121.2353 23.1743 19.9983
121.2341 23.1722 19.9983
121.2329 23.1701 19.9983
121.2316 23.1680 19.9983
121.2304 23.1659 19.9983
121.2291 23.1637 19.9983
121.2279 23.1616 19.9983
121.2270 23.1594 19.9983
121.2261 23.1572 19.9983
121.2252 23.1550 19.9983
121.2243 23.1527 19.9983
121.2234 23.1505 19.9983
121.2225 23.1483 19.9983
121.2215 23.1461 19.9983
121.2206 23.1438 19.9983
121.2197 23.1416 19.9983
121.2188 23.1394 19.9983
121.2179 23.1372 19.9983
121.2170 23.1350 19.9983
121.2161 23.1327 19.9983
121.2152 23.1305 19.9983
121.2143 23.1283 19.9983
121.2134 23.1261 19.9983
121.2125 23.1238 19.9983
121.2116 23.1216 19.9983
121.2107 23.1194 19.9983
121.2098 23.1172 19.9983
121.2086 23.1150 19.9983
121.2074 23.1128 19.9983
121.2062 23.1107 19.9983
121.2050 23.1085 19.9983
121.2039 23.1063 19.9983
121.2027 23.1042 19.9983
121.2015 23.1020 19.9983
121.2003 23.0998 19.9983
121.1992 23.0977 19.9983
121.1980 23.0955 19.9983
121.1968 23.0933 19.9983
121.1956 23.0912 19.9983
121.1944 23.0890 19.9983
121.1933 23.0868 19.9983
121.1921 23.0847 19.9983
121.1909 23.0825 19.9983
121.1897 23.0803 19.9983
121.1886 23.0782 19.9983
121.1874 23.0760 19.9983
121.1862 23.0738 19.9984
121.1855 23.0715 19.9984
121.1847 23.0692 19.9984
121.1840 23.0668 19.9984
121.1832 23.0645 19.9984
121.1825 23.0622 19.9984
121.1817 23.0598 19.9984
121.1810 23.0575 19.9984
121.1803 23.0552 19.9984
121.1795 23.0529 19.9984
121.1788 23.0505 19.9984
121.1780 23.0482 19.9984
121.1773 23.0459 19.9984
121.1765 23.0435 19.9984
121.1758 23.0412 19.9984
121.1751 23.0389 19.9984
121.1743 23.0366 19.9984
121.1736 23.0342 19.9984
121.1728 23.0319 19.9984
121.1721 23.0296 19.9984
121.1714 23.0272 19.9984
121.1708 23.0249 19.9983
121.1703 23.0225 19.9983
121.1697 23.0201 19.9983
121.1692 23.0177 19.9982
121.1687 23.0153 19.9982
121.1681 23.0130 19.9982
121.1676 23.0106 19.9981
121.1670 23.0082 19.9981
121.1665 23.0058 19.9981
121.1660 23.0035 19.9980
121.1654 23.0011 19.9980
121.1649 22.9987 19.9979
121.1643 22.9963 19.9979
121.1638 22.9939 19.9979
121.1633 22.9916 19.9978
121.1627 22.9892 19.9978
121.1622 22.9868 19.9978
121.1617 22.9844 19.9977
121.1611 22.9820 19.9977
121.1606 22.9797 19.9977
121.1599 22.9773 19.9976
121.1592 22.9750 19.9976
121.1586 22.9726 19.9975
121.1579 22.9702 19.9975
121.1572 22.9679 19.9974
121.1566 22.9655 19.9974
121.1559 22.9632 19.9973
121.1552 22.9608 19.9973
121.1545 22.9585 19.9972
121.1539 22.9561 19.9972
121.1532 22.9537 19.9972
121.1525 22.9514 19.9971
121.1519 22.9490 19.9971
121.1512 22.9467 19.9970
121.1505 22.9443 19.9970
121.1499 22.9420 19.9969
121.1492 22.9396 19.9969
121.1485 22.9373 19.9968
121.1479 22.9349 19.9968
121.1472 22.9325 19.9968
121.1464 22.9302 19.9967
121.1456 22.9279 19.9966
121.1448 22.9256 19.9966
121.1440 22.9233 19.9965
121.1432 22.9210 19.9965
121.1424 22.9187 19.9964
121.1417 22.9164 19.9964
121.1409 22.9141 19.9963
121.1401 22.9117 19.9963
121.1393 22.9094 19.9962
121.1385 22.9071 19.9962
121.1377 22.9048 19.9961
121.1369 22.9025 19.9961
121.1361 22.9002 19.9960
121.1353 22.8979 19.9960
121.1345 22.8956 19.9959
121.1338 22.8933 19.9958
121.1330 22.8909 19.9958
121.1322 22.8886 19.9957
121.1314 22.8863 19.9957
121.1310 22.8839 19.9957
121.1306 22.8815 19.9956
121.1302 22.8791 19.9956
121.1298 22.8767 19.9956
121.1294 22.8743 19.9956
121.1290 22.8719 19.9955
121.1286 22.8695 19.9955
121.1282 22.8671 19.9955
121.1278 22.8647 19.9954
121.1274 22.8623 19.9954
121.1270 22.8599 19.9954
121.1266 22.8574 19.9954
121.1263 22.8550 19.9953
121.1259 22.8526 19.9953
121.1255 22.8502 19.9953
121.1251 22.8478 19.9953
121.1247 22.8454 19.9952
121.1243 22.8430 19.9952
121.1239 22.8406 19.9952
121.1235 22.8382 19.9952
121.1232 22.8358 19.9951
121.1229 22.8334 19.9951
121.1226 22.8310 19.9951
121.1223 22.8286 19.9951
121.1220 22.8262 19.9951
121.1217 22.8238 19.9950
121.1214 22.8214 19.9950
121.1211 22.8189 19.9950
121.1208 22.8165 19.9950
121.1205 22.8141 19.9950
121.1202 22.8117 19.9949
121.1199 22.8093 19.9949
121.1196 22.8069 19.9949
121.1193 22.8045 19.9949
121.1190 22.8021 19.9949
121.1188 22.7997 19.9948
121.1185 22.7973 19.9948
121.1182 22.7949 19.9948
121.1179 22.7925 19.9948
121.1176 22.7901 19.9948
> Changhua
120.6467 24.3689 3.6323
120.6451 24.3670 3.6323
120.6434 24.3651 3.6323
120.6418 24.3632 3.6323
120.6401 24.3613 3.6323
120.6385 24.3594 3.6323
120.6368 24.3575 3.6323
120.6352 24.3556 3.6323
120.6336 24.3537 3.6323
120.6319 24.3518 3.6323
120.6303 24.3499 3.6323
120.6286 24.3480 3.6323
120.6270 24.3461 3.6323
120.6253 24.3442 3.6323
120.6237 24.3423 3.6323
120.6220 24.3404 3.6323
120.6204 24.3385 3.6323
120.6187 24.3366 3.6323
120.6171 24.3347 3.6323
120.6155 24.3328 3.6323
120.6138 24.3309 3.6323
120.6127 24.3287 3.6323
120.6115 24.3264 3.6323
120.6104 24.3242 3.6323
120.6093 24.3220 3.6323
120.6081 24.3198 3.6323
120.6070 24.3175 3.6323
120.6059 24.3153 3.6323
120.6047 24.3131 3.6323
120.6036 24.3109 3.6323
120.6025 24.3086 3.6323
120.6013 24.3064 3.6323
120.6002 24.3042 3.6323
120.5990 24.3019 3.6323
120.5979 24.2997 3.6323
120.5968 24.2975 3.6323
120.5956 24.2953 3.6323
120.5945 24.2930 3.6323
120.5934 24.2908 3.6323
120.5922 24.2886 3.6323
120.5911 24.2864 3.6323
120.5898 24.2842 3.6323
120.5884 24.2821 3.6323
120.5871 24.2800 3.6323
120.5857 24.2778 3.6323
120.5844 24.2757 3.6323
120.5831 24.2736 3.6323
120.5817 24.2714 3.6323
120.5804 24.2693 3.6323
120.5791 24.2672 3.6323
120.5777 24.2650 3.6323
120.5764 24.2629 3.6323
120.5750 24.2608 3.6323
120.5737 24.2586 3.6323
120.5724 24.2565 3.6323
120.5710 24.2544 3.6323
120.5697 24.2522 3.6323
120.5684 24.2501 3.6323
120.5670 24.2480 3.6323
120.5657 24.2458 3.6323
120.5643 24.2437 3.6323
120.5636 24.2414 3.6323
120.5628 24.2390 3.6323
120.5620 24.2367 3.6323
120.5612 24.2344 3.6323
120.5604 24.2320 3.6323
120.5596 24.2297 3.6323
120.5588 24.2273 3.6323
120.5580 24.2250 3.6323
120.5572 24.2227 3.6323
120.5565 24.2203 3.6323
120.5557 24.2180 3.6323
120.5549 24.2156 3.6323
120.5541 24.2133 3.6323
120.5533 24.2110 3.6323
120.5525 24.2086 3.6323
120.5517 24.2063 3.6323
120.5509 24.2039 3.6323
120.5501 24.2016 3.6323
120.5493 24.1993 3.6323
120.5486 24.1969 3.6323
120.5486 24.1945 3.6323
120.5486 24.1921 3.6323
120.5486 24.1897 3.6323
120.5486 24.1873 3.6323
120.5486 24.1850 3.6323
120.5486 24.1826 3.6323
120.5486 24.1802 3.6323
120.5486 24.1778 3.6323
120.5486 24.1754 3.6323
120.5486 24.1730 3.6323
120.5486 24.1706 3.6323
120.5486 24.1682 3.6323
120.5486 24.1658 3.6323
120.5486 24.1634 3.6323
120.5486 24.1610 3.6323
120.5486 24.1586 3.6323
120.5486 24.1562 3.6323
120.5486 24.1538 3.6323
120.5486 24.1514 3.6323
120.5486 24.1490 3.6323
120.5486 24.1466 3.6323
120.5486 24.1441 3.6323
120.5486 24.1417 3.6323
120.5486 24.1392 3.6323
120.5486 24.1368 3.6323
120.5486 24.1343 3.6323
120.5486 24.1319 3.6323
120.5486 24.1294 3.6323
120.5486 24.1270 3.6323
120.5486 24.1245 3.6323
120.5486 24.1221 3.6323
120.5486 24.1196 3.6323
120.5486 24.1172 3.6323
120.5486 24.1147 3.6323
120.5486 24.1123 3.6323
120.5486 24.1098 3.6323
120.5486 24.1074 3.6323
120.5486 24.1049 3.6323
120.5486 24.1024 3.6323
120.5486 24.1000 3.6323
120.5485 24.0975 3.6323
120.5483 24.0951 3.6323
120.5481 24.0927 3.6323
120.5480 24.0902 3.6323
120.5478 24.0878 3.6323
120.5477 24.0853 3.6323
120.5475 24.0829 3.6323
120.5474 24.0804 3.6323
120.5472 24.0780 3.6323
120.5470 24.0755 3.6323
120.5469 24.0731 3.6323
120.5467 24.0706 3.6323
120.5466 24.0682 3.6323
120.5464 24.0657 3.6323
120.5462 24.0633 3.6323
120.5461 24.0608 3.6323
120.5459 24.0584 3.6323
120.5458 24.0559 3.6323
120.5456 24.0535 3.6323
120.5455 24.0510 3.6323
120.5469 24.0491 3.6323
120.5483 24.0472 3.6323
120.5497 24.0453 3.6323
120.5511 24.0434 3.6323
120.5525 24.0415 3.6323
120.5539 24.0396 3.6323
120.5553 24.0377 3.6323
120.5568 24.0358 3.6323
120.5582 24.0339 3.6323
120.5596 24.0320 3.6323
120.5610 24.0300 3.6323
120.5624 24.0281 3.6323
120.5638 24.0262 3.6323
120.5652 24.0243 3.6323
120.5666 24.0224 3.6323
120.5681 24.0205 3.6323
120.5695 24.0186 3.6323
120.5709 24.0167 3.6323
120.5723 24.0148 3.6323
120.5737 24.0129 3.6323
120.5752 24.0108 3.6323
120.5766 24.0087 3.6323
120.5781 24.0067 3.6323
120.5795 24.0046 3.6323
120.5810 24.0025 3.6323
120.5824 24.0005 3.6323
120.5839 23.9984 3.6323
120.5854 23.9963 3.6323
120.5868 23.9943 3.6323
120.5883 23.9922 3.6323
120.5897 23.9902 3.6323
120.5912 23.9881 3.6323
120.5926 23.9860 3.6323
120.5941 23.9840 3.6323
120.5956 23.9819 3.6323
120.5970 23.9798 3.6323
120.5985 23.9778 3.6323
120.5999 23.9757 3.6323
120.6014 23.9736 3.6323
120.6028 23.9716 3.6323
120.6033 23.9692 3.6323
120.6037 23.9668 3.6323
120.6041 23.9644 3.6323
120.6046 23.9621 3.6323
120.6050 23.9597 3.6323
120.6054 23.9573 3.6323
120.6059 23.9549 3.6323
120.6063 23.9525 3.6323
120.6067 23.9502 3.6323
120.6072 23.9478 3.6323
120.6076 23.9454 3.6323
120.6080 23.9430 3.6323
120.6084 23.9407 3.6323
120.6089 23.9383 3.6323
120.6093 23.9359 3.6323
120.6097 23.9335 3.6323
120.6102 23.9311 3.6323
120.6106 23.9288 3.6323
120.6110 23.9264 3.6323
120.6115 23.9240 3.6323
120.6115 23.9216 3.6323
120.6115 23.9192 3.6323
120.6115 23.9168 3.6323
120.6116 23.9144 3.6323
120.6116 23.9120 3.6323
120.6116 23.9096 3.6323
120.6116 23.9072 3.6323
120.6117 23.9048 3.6323
120.6117 23.9024 3.6323
120.6117 23.9000 3.6323
120.6117 23.8976 3.6323
120.6118 23.8952 3.6323
120.6118 23.8928 3.6323
120.6118 23.8904 3.6323
120.6118 23.8880 3.6323
120.6119 23.8856 3.6323
120.6119 23.8832 3.6323
120.6119 23.8808 3.6323
120.6119 23.8784 3.6323
120.6120 23.8760 3.6323
120.6118 23.8736 3.6323
120.6116 23.8711 3.6323
120.6114 23.8687 3.6323
120.6112 23.8663 3.6323
120.6110 23.8638 3.6323
120.6108 23.8614 3.6323
120.6107 23.8590 3.6323
120.6105 23.8565 3.6323
120.6103 23.8541 3.6323
120.6101 23.8516 3.6323
120.6099 23.8492 3.6323
120.6097 23.8468 3.6323
120.6095 23.8443 3.6323
120.6094 23.8419 3.6323
120.6092 23.8395 3.6323
