> CRF
121.4003 23.4914 19.9962
121.3986 23.4896 20.1339
121.3969 23.4879 20.2715
121.3951 23.4861 20.4092
121.3934 23.4844 20.5468
121.3916 23.4826 20.6844
121.3899 23.4808 20.8221
121.3881 23.4791 20.9597
121.3864 23.4773 21.0974
121.3847 23.4756 21.2350
121.3829 23.4738 21.3727
121.3812 23.4720 21.5103
121.3794 23.4703 21.6479
121.3777 23.4685 21.7856
121.3759 23.4668 21.9232
121.3742 23.4650 22.0609
121.3725 23.4632 22.1985
121.3707 23.4615 22.3362
121.3690 23.4597 22.4738
121.3672 23.4580 22.6114
121.3655 23.4562 22.7491
121.3643 23.4543 22.8439
121.3631 23.4524 22.9386
121.3619 23.4505 23.0334
121.3607 23.4486 23.1282
121.3595 23.4466 23.2229
121.3583 23.4447 23.3177
121.3571 23.4428 23.4125
121.3559 23.4409 23.5073
121.3547 23.4390 23.6020
121.3535 23.4371 23.6968
121.3523 23.4352 23.7916
121.3511 23.4333 23.8864
121.3499 23.4314 23.9811
121.3487 23.4295 24.0759
121.3475 23.4276 24.1707
121.3463 23.4256 24.2654
121.3451 23.4237 24.3602
121.3439 23.4218 24.4550
121.3427 23.4199 24.5498
121.3415 23.4180 24.6445
121.3406 23.4159 24.7147
121.3397 23.4139 24.7849
121.3388 23.4118 24.8551
121.3379 23.4098 24.9253
121.3370 23.4077 24.9955
121.3361 23.4057 25.0657
121.3352 23.4036 25.1359
121.3343 23.4016 25.2061
121.3334 23.3995 25.2763
121.3325 23.3974 25.3465
121.3317 23.3954 25.4167
121.3308 23.3933 25.4869
121.3299 23.3913 25.5571
121.3290 23.3892 25.6273
121.3281 23.3872 25.6975
121.3272 23.3851 25.7677
121.3263 23.3831 25.8379
121.3254 23.3810 25.9081
121.3245 23.3789 25.9783
121.3236 23.3769 26.0485
121.3229 23.3748 26.1084
121.3221 23.3727 26.1683
121.3214 23.3707 26.2283
121.3206 23.3686 26.2882
121.3198 23.3665 26.3481
121.3191 23.3644 26.4080
121.3183 23.3624 26.4680
121.3175 23.3603 26.5279
121.3168 23.3582 26.5878
121.3160 23.3561 26.6477
121.3153 23.3541 26.7077
121.3145 23.3520 26.7676
121.3137 23.3499 26.8275
121.3130 23.3478 26.8874
121.3122 23.3458 26.9474
121.3115 23.3437 27.0073
121.3107 23.3416 27.0672
121.3099 23.3395 27.1271
121.3092 23.3375 27.1871
121.3084 23.3354 27.2470
121.3075 23.3332 27.3193
121.3066 23.3310 27.3916
121.3057 23.3288 27.4639
121.3047 23.3266 27.5362
121.3038 23.3244 27.6085
121.3029 23.3222 27.6807
