> CRF
2.8359 -30.0000
8.3196 -21.3470
10.4240 -17.0610
12.5270 -12.7750
14.6310 -8.4898
16.7340 -4.2054
19.0790 0.0000
> Chiayi_frontal
-47.8000 -12.1740
-52.5460 -10.4350
-57.2930 -8.6957
-61.6830 -6.9565
-66.4300 -5.2174
-71.1760 -3.4783
-75.9230 -1.7391
-80.6690 0.0000
> LVF
62.0280 -30.0000
58.6040 -29.4550
54.9230 -28.7670
51.2420 -27.8530
47.5620 -26.6640
43.8810 -25.1170
40.2010 -23.1290
36.5200 -20.5710
32.8400 -17.2600
29.1600 -12.8750
25.4800 -7.0433
21.6180 0.0000
18.7690 0.0000
> Muchiliao
-40.3960 -13.0080
-44.1990 -10.3030
-48.0020 -7.6220
-51.8050 -4.9825
-55.6080 -2.3243
-61.2850 0.0000
> east_offshore
40.4610 -30.0000
43.1170 -27.4360
46.0310 -24.7480
48.9440 -21.9230
51.8580 -18.9130
54.7710 -15.3960
57.6850 -11.0770
60.5980 -5.8386
63.7740 0.0000
> detachment
44.8680 -30.0000
40.0760 -25.8480
35.3000 -23.6790
30.5230 -23.3480
25.7460 -23.2480
20.9690 -23.1470
16.1920 -23.0420
11.4150 -22.9080
6.6385 -22.7750
1.8617 -22.5510
-2.9152 -22.1920
-7.6920 -21.6180
-12.4690 -20.6780
-17.2460 -19.1350
-22.0230 -17.0690
-26.7990 -16.0400
-31.5760 -15.5860
-36.3530 -15.3950
-41.1300 -15.3310
-45.9070 -15.2670
-50.6840 -15.2040
-55.4600 -15.1400
-60.2370 -15.0660
-63.2920 -14.8790
-68.0690 -14.6370
-72.8460 -14.1020
-77.6060 -13.0000
