> Changhua
-17.0950 -12.9680
-17.2860 -13.0310
-21.8940 -11.5720
-26.6920 -10.0760
-31.4640 -8.7066
-36.2620 -6.9856
-41.0600 -4.9965
-45.8650 0.0000
> Chelungpu
2.0303 -13.8330
-2.3071 -11.6950
-5.4690 -9.9255
-9.8001 -7.9586
-14.1310 -5.9173
-18.4620 -3.9554
-22.7930 -1.9210
-27.1700 0.0000
> LVF
94.2490 -30.0000
90.5100 -29.4390
86.8400 -28.7760
83.1700 -27.8930
79.5000 -26.7250
75.8300 -25.1950
72.1600 -23.2430
68.4900 -20.7240
64.8200 -17.4690
61.1500 -13.1600
57.4790 -7.4604
53.8390 0.0000
52.9160 0.0000
> Tamaopu
1.5056 -14.2660
-2.7492 -11.4080
-7.0040 -8.5509
-11.3560 -5.7726
-15.6110 -2.9315
-19.8640 0.0000
> east_offshore
70.1760 -30.0000
73.1290 -27.4370
76.0440 -24.7490
78.9580 -21.9240
81.8730 -18.9150
84.7870 -15.4000
87.7020 -11.0810
90.6160 -5.8407
93.4880 0.0000
> NCRF
43.1600 -30.0000
55.5380 -5
> detachment
72.7480 -30.0000
67.9480 -25.8480
63.1710 -23.6790
58.3940 -23.3480
48.8400 -23.1470
44.0630 -23.0420
39.2870 -22.9080
35.9360 -22.7740
34.5100 -22.7750
31.1590 -22.5510
26.3820 -22.1920
21.6060 -21.6170
16.8290 -20.6770
12.0520 -19.1330
7.2750 -17.0680
2.4982 -16.0390
-2.2787 -15.5860
-5.9142 -15.3950
-7.0556 -15.3950
-10.6910 -15.3310
-11.8320 -15.3310
-15.4680 -15.2670
-16.6090 -15.2670
-20.2450 -15.2040
-21.3860 -15.2040
-25.0220 -15.1400
-26.1630 -15.1400
-29.7980 -15.0660
-34.5750 -14.8790
-39.3520 -14.6370
-44.1290 -14.1020
-48.8870 -13.0000
