1958,1929,1930
1930,1931,1959
1989,2018,2017
2066,2037,2038
1982,1953,1954
2035,2036,2064
2037,2009,2038
2091,2062,2063
1926,1927,1955
2021,2049,2020
1947,1976,1975
2038,2067,2066
1988,2017,2016
1988,1989,2017
2071,2100,2099
2115,2116,2145
1996,2024,1995
2004,2005,2033
2007,2008,2036
1988,1987,1959
2066,2067,2095
2065,2036,2037
2035,2006,2007
2041,2070,2069
2068,2097,2096
2125,2096,2126
2067,2068,2096
2098,2099,2128
1963,1934,1935
2042,2070,2041
2110,2082,2111
2036,2008,2037
2042,2043,2071
2130,2100,2101
1932,1933,1961
1954,1955,1983
1977,1976,1948
1984,1955,1956
1990,1991,2019
2102,2103,2132
2023,2051,2022
2019,2018,1990
1957,1956,1928
2107,2108,2137
2109,2108,2080
2071,2070,2042
1992,2021,2020
2141,2111,2112
2074,2075,2103
2142,2112,2113
2079,2108,2107
2085,2084,2056
2085,2086,2114
2114,2115,2144
2114,2113,2085
2005,1977,2006
1975,2003,1974
2005,2034,2033
2033,2061,2032
2062,2091,2090
2091,2120,2090
2090,2120,2119
2003,2004,2032
2034,2062,2033
2061,2062,2090
2092,2121,2091
2092,2091,2063
2061,2033,2062
2091,2121,2120
2092,2093,2122
2092,2063,2064
2062,2034,2063
2092,2122,2121
2093,2123,2122
1975,1976,2004
2006,2034,2005
1976,1977,2005
2007,2036,2035
1978,1977,1949
1978,2006,1977
2032,2004,2033
2003,1975,2004
2004,1976,2005
1948,1976,1947
1977,1948,1949
1950,1979,1978
2007,2006,1978
2034,2035,2063
2034,2006,2035
2092,2064,2093
2063,2035,2064
2064,2065,2093
2064,2036,2065
2093,2094,2123
2123,2094,2124
2093,2065,2094
2094,2095,2124
2094,2065,2066
1978,1979,2007
2010,2011,2039
2094,2066,2095
2065,2037,2066
2095,2125,2124
2096,2097,2126
2095,2096,2125
2095,2067,2096
2008,2009,2037
2039,2068,2067
2038,2039,2067
2069,2097,2068
1981,1980,1952
1950,1978,1949
2008,1979,1980
2008,2007,1979
1980,2009,2008
2011,2012,2040
1951,1923,1952
1951,1950,1922
1951,1979,1950
1925,1926,1954
1924,1953,1952
1923,1951,1922
1980,1979,1951
1925,1897,1926
1924,1925,1953
1927,1928,1956
1923,1924,1952
1896,1925,1924
1896,1897,1925
1981,1952,1953
1980,1951,1952
1982,1981,1953
2009,1980,1981
1981,1982,2010
2012,2013,2041
2009,2010,2038
2009,1981,2010
1983,1982,1954
2011,2010,1982
2010,2039,2038
2040,2069,2068
2097,2127,2126
2039,2040,2068
2070,2098,2069
2097,2098,2127
2127,2098,2128
2011,2040,2039
2041,2069,2040
2069,2098,2097
2070,2099,2098
2130,2101,2131
2099,2129,2128
2099,2100,2129
2070,2071,2099
2101,2102,2131
2129,2100,2130
2013,2014,2042
2043,2044,2072
2072,2071,2043
2072,2100,2071
2012,1983,1984
2015,2043,2014
2040,2012,2041
2011,1982,1983
2041,2013,2042
2012,2011,1983
1925,1954,1953
1986,1985,1957
1984,1983,1955
1984,2013,2012
1926,1955,1954
1986,1957,1958
1985,1984,1956
1985,2013,1984
1928,1929,1957
1927,1956,1955
1986,1958,1987
2013,1985,2014
2016,2045,2044
1957,1985,1956
1986,2014,1985
2015,1986,1987
2015,2014,1986
2014,2043,2042
2044,2045,2073
2073,2072,2044
2073,2102,2101
2072,2101,2100
2102,2132,2131
2072,2073,2101
2015,2044,2043
2045,2046,2074
2074,2073,2045
2074,2102,2073
2015,2016,2044
2106,2077,2078
2077,2106,2105
2104,2076,2105
2074,2103,2102
2103,2133,2132
2103,2104,2133
2017,2046,2045
2107,2078,2079
2046,2075,2074
2046,2047,2075
1987,1988,2016
2018,2046,2017
1958,1957,1929
1958,1959,1987
1987,2016,2015
2017,2045,2016
1934,1962,1933
1959,1960,1988
1931,1932,1960
1990,1962,1991
1958,1930,1959
1963,1992,1991
1959,1931,1960
1960,1961,1989
1992,1993,2021
1960,1989,1988
1990,2018,1989
2018,2047,2046
2048,2049,2077
2075,2104,2103
2105,2135,2134
2104,2134,2133
2104,2105,2134
2075,2076,2104
2106,2135,2105
2076,2077,2105
2076,2048,2077
2047,2076,2075
2047,2048,2076
2018,2019,2047
2108,2079,2080
2020,2049,2048
2050,2051,2079
2106,2136,2135
2106,2107,2136
2049,2078,2077
2049,2050,2078
2136,2107,2137
2106,2078,2107
1991,1992,2020
2022,2050,2021
2021,2050,2049
2109,2080,2081
1990,1961,1962
1993,1994,2022
2048,2019,2020
2048,2047,2019
2019,1991,2020
1990,1989,1961
1963,1991,1962
1960,1932,1961
1964,1992,1963
1961,1933,1962
1965,1993,1964
1962,1934,1963
1966,1994,1965
1963,1935,1964
2021,1993,2022
2024,2053,2052
1964,1993,1992
1994,2023,2022
2022,2051,2050
2083,2084,2112
2050,2079,2078
2110,2081,2082
2137,2108,2138
2051,2080,2079
2051,2052,2080
2138,2108,2109
2110,2109,2081
2139,2138,2109
2023,2052,2051
2053,2054,2082
2052,2081,2080
2052,2053,2081
2140,2110,2111
2139,2109,2110
2139,2110,2140
2140,2111,2141
2023,2024,2052
2054,2055,2083
2111,2082,2083
2081,2053,2082
1965,1994,1993
1995,2023,1994
1995,2024,2023
2025,2053,2024
1966,1995,1994
1996,2025,2024
2026,2054,2025
2025,2054,2053
2055,2084,2083
2111,2083,2112
2082,2054,2083
2141,2112,2142
2026,2055,2054
2056,2084,2055
2057,2085,2056
2143,2113,2114
2112,2084,2113
2142,2113,2143
2143,2114,2144
2113,2084,2085
2086,2085,2057
2086,2115,2114
2087,2115,2086
2115,2145,2144
2115,2087,2116
2116,2146,2145
2116,2117,2146
2117,2147,2146
